abejoti 6 ab-ej-o-ti abejoti; vksm. bendr.
apsispręsti 8 ap-si-spręs-ti apsispręsti; vksm. bendr. sngr.
apsisukti 2 ap-si-suk-ti apsisukti; vksm. bendr. sngr.
apsisvarstyti 1 ap-si-svar-sty-ti apsisvarstyti; vksm. bendr. sngr.
apsitverti 1 ap-si-tver-ti apsitverti; vksm. bendr. sngr.
apsiversti 1 ap-si-vers-ti apsiversti; vksm. bendr. sngr.
apsižioti 1 ap-si-žio-ti apsižioti; vksm. bendr. sngr.
apskaičiuoti 17 ap-skaič-iuo-ti apskaičiuoti; vksm. bendr.
apskristi 1 ap-skris-ti apskristi; vksm. bendr.
apskųsti 3 ap-skųs-ti apskųsti; vksm. bendr.
apsunkinti 2 ap-sunk-in-ti apsunkinti; vksm. bendr.
apsupti 1 ap-sup-ti apsupti; vksm. bendr.
apsvarstyti 5 ap-svar-sty-ti apsvarstyti; vksm. bendr.
apšilti 1 ap-šil-ti apšilti; vksm. bendr.
apšiltinti 1 ap-šil-t-in-ti apšiltinti; vksm. bendr.
apšvarinti 1 ap-švar-in-ti apšvarinti; vksm. bendr.
aptarnauti 7 ap-tarn-au-ti aptarnauti; vksm. bendr.
aptarti 13 ap-tar-ti aptarti; vksm. bendr.
aptikti 5 ap-tik-ti aptikti; vksm. bendr.
aptvarstyti 1 ap-tvar-sty-ti aptvarstyti; vksm. bendr.
aptverti 1 ap-tver-ti aptverti; vksm. bendr.
apvaisinti 1 ap-vais-in-ti apvaisinti; vksm. bendr.
apvemti 1 ap-vem-ti apvemti; vksm. bendr.
apverkti 1 ap-verk-ti apverkti; vksm. bendr.
apversti 3 ap-vers-ti apversti; vksm. bendr.
apvesdinti 1 ap-ves-din-ti apvesdinti; vksm. bendr.
apvilti 1 ap-vil-ti apvilti; vksm. bendr.
apžiūrėt 2 ap-žiūr-ė-t apžiūrėti; vksm. bendr.
apžiūrėti 10 ap-žiūr-ė-ti apžiūrėti; vksm. bendr.
apžiūrinėti 3 ap-žiūr-inė-ti apžiūrinėti; vksm. bendr.
apžvelgti 1 ap-žvelg-ti apžvelgti; vksm. bendr.
ardyti 1 ar-d-y-ti ardyti; vksm. bendr.
argumentuoti 2 argument-uo-ti argumentuoti; vksm. bendr.
art 2 ar-t arti; vksm. bendr.
8
artėti 2 art-ė-ti artėti; vksm. bendr.
arti 1 ar-ti arti; vksm. bendr.
asimiliuotis 1 asimil-iuo-ti-s asimiliuotis; vksm. bendr. sngr.
asistuoti 1 asist-uo-ti asistuoti; vksm. bendr.
atakuoti 2 atak-uo-ti atakuoti; vksm. bendr.
ataušti 1 at-auš-ti ataušti; vksm. bendr.
atbaidyti 2 at-baid-y-ti atbaidyti; vksm. bendr.
atbūti 1 at-bū-ti atbūti; vksm. bendr.
atduoti 1 at-duo-ti atduoti; vksm. bendr.
ateit 3 at-ei-t ateiti; vksm. bendr.
ateiti 9 at-ei-ti ateiti; vksm. bendr.
atestuoti 1 atest-uo-ti atestuoti; vksm. bendr.
atgaivinti 6 at-gaiv-in-ti atgaivinti; vksm. bendr.
atgaudyt 1 at-gau-dy-t atgaudyti; vksm. bendr.
atgauti 9 at-gau-ti atgauti; vksm. bendr.
atgimti 1 at-gim-ti atgimti; vksm. bendr.
atgręžti 1 at-gręž-ti atgręžti; vksm. bendr.
atgrubt 1 at-grub-t atgrubti; vksm. bendr.
atidalyti 1 ati-dal-y-ti atidalyti; vksm. bendr.
atidaryti 5 ati-dar-y-ti atidaryti; vksm. bendr.
atidėlioti 3 ati-dė-lio-ti atidėlioti; vksm. bendr.
atidėt 2 ati-dė-t atidėti; vksm. bendr.
atidėti 8 ati-dė-ti atidėti; vksm. bendr.
atiduot 1 ati-duo-t atiduoti; vksm. bendr.
atiduoti 6 ati-duo-ti atiduoti; vksm. bendr.
atimti 7 at-im-ti atimti; vksm. bendr.
atitaisyti 1 ati-tais-y-ti atitaisyti; vksm. bendr.
atitekti 1 ati-tek-ti atitekti; vksm. bendr.
atitikti 16 ati-tik-ti atitikti; vksm. bendr.
atitolinti 2 ati-tol-in-ti atitolinti; vksm. bendr.
atitraukt 1 ati-trauk-t atitraukti; vksm. bendr.
atitraukti 2 ati-trauk-ti atitraukti; vksm. bendr.
atitrūkti 2 ati-trūk-ti atitrūkti; vksm. bendr.
atitverti 1 ati-tver-ti atitverti; vksm. bendr.
atjaunėt 1 at-jaun-ė-t atjaunėti; vksm. bendr.
atjunkyti 1 at-junk-y-ti atjunkyti; vksm. bendr.
atkalbėti 1 at-kalb-ė-ti atkalbėti; vksm. bendr.
atkartoti 2 at-kart-o-ti atkartoti; vksm. bendr.
atkasti 1 at-kas-ti atkasti; vksm. bendr.
atkentėti 1 at-kent-ė-ti atkentėti; vksm. bendr.
atkeršyti 1 at-kerš-y-ti atkeršyti; vksm. bendr.
atkirsti 1 at-kirs-ti atkirsti; vksm. bendr.
9
atkišti 1 at-kiš-ti atkišti; vksm. bendr.
atkreipti 15 at-kreip-ti atkreipti; vksm. bendr.
atkurti 10 at-kur-ti atkurti; vksm. bendr.
atlaikyt 1 at-laik-y-t atlaikyti; vksm. bendr.
atlaikyti 3 at-laik-y-ti atlaikyti; vksm. bendr.
atlankyti 1 at-lank-y-ti atlankyti; vksm. bendr.
atleisti 12 at-leis-ti atleisti; vksm. bendr.
atlėkti 1 at-lėk-ti atlėkti; vksm. bendr.
atlietuvinti 1 at-lietuv-in-ti atlietuvinti; vksm. bendr.
atlikinėti 4 at-lik-inė-ti atlikinėti; vksm. bendr.
atlikti 105 at-lik-ti atlikti; vksm. bendr.
atlyginti 5 at-lyg-in-ti atlyginti; vksm. bendr.
atlupt 1 at-lup-t atlupti; vksm. bendr.
atmesti 4 at-mes-ti atmesti; vksm. bendr.
atminti 2 at-min-ti atminti; vksm. bendr.
atmušti 1 at-muš-ti atmušti; vksm. bendr.
atnaujinti 5 at-nauj-in-ti atnaujinti; vksm. bendr.
atnešt 2 at-neš-t atnešti; vksm. bendr.
atnešti 12 at-neš-ti atnešti; vksm. bendr.
atpalaiduoti 1 at-pa-laid-uo-ti atpalaiduoti; vksm. bendr.
atpažinti 3 at-pa-žin-ti atpažinti; vksm. bendr.
atpiginti 1 at-pig-in-ti atpiginti; vksm. bendr.
atpigti 1 at-pig-ti atpigti; vksm. bendr.
atpirkti 1 at-pirk-ti atpirkti; vksm. bendr.
atplaukti 1 at-plauk-ti atplaukti; vksm. bendr.
atplėšti 2 at-plėš-ti atplėšti; vksm. bendr.
atprasti 1 at-pras-ti atprasti; vksm. bendr.
atpūsti 1 at-pūs-ti atpūsti; vksm. bendr.
atrast 1 at-ras-t atrasti; vksm. bendr.
atrasti 5 at-ras-ti atrasti; vksm. bendr.
atremontuoti 1 at-remont-uo-ti atremontuoti; vksm. bendr.
atremti 3 at-rem-ti atremti; vksm. bendr.
atriboti 1 at-rib-o-ti atriboti; vksm. bendr.
atrinkti 4 at-rink-ti atrinkti; vksm. bendr.
atryti 1 at-ry-ti atryti; vksm. bendr.
atrodyt 1 at-rod-y-t atrodyti; vksm. bendr.
atrodyti 18 at-rod-y-ti atrodyti; vksm. bendr.
atsakinėti 3 at-sak-inė-ti atsakinėti; vksm. bendr.
atsakyti 23 at-sak-y-ti atsakyti; vksm. bendr.
atsėdėti 2 at-sėd-ė-ti atsėdėti; vksm. bendr.
atsekti 3 at-sek-ti atsekti; vksm. bendr.
atsibusti 2 at-si-bus-ti atsibusti; vksm. bendr. sngr.
10
atsidaryt 1 at-si-dar-y-t atsidaryti; vksm. bendr. sngr.
atsidaryti 1 at-si-dar-y-ti atsidaryti; vksm. bendr. sngr.
atsiduoti 1 at-si-duo-ti atsiduoti; vksm. bendr. sngr.
atsidurti 2 at-si-dur-ti atsidurti; vksm. bendr. sngr.
atsidžiaugti 1 at-si-džiaug-ti atsidžiaugti; vksm. bendr. sngr.
atsigauti 1 at-si-gau-ti atsigauti; vksm. bendr. sngr.
atsigert 1 at-si-ger-t atsigerti; vksm. bendr. sngr.
atsigerti 4 at-si-ger-ti atsigerti; vksm. bendr. sngr.
atsiginti 1 at-si-gin-ti atsiginti; vksm. bendr. sngr.
atsigręžti 2 at-si-gręž-ti atsigręžti; vksm. bendr. sngr.
atsigrožėti 1 at-si-grož-ė-ti atsigrožėti; vksm. bendr. sngr.
atsigulti 2 at-si-gul-ti atsigulti; vksm. bendr. sngr.
atsiimti 7 at-si-im-ti atsiimti; vksm. bendr. sngr.
atsikabint 1 at-si-kab-in-t atsikabinti; vksm. bendr. sngr.
atsikalbinėti 1 at-si-kalb-inė-ti atsikalbinėti; vksm. bendr. sngr.
atsikasti 1 at-si-kas-ti atsikasti; vksm. bendr. sngr.
atsikąsti 1 at-si-kąs-ti atsikąsti; vksm. bendr. sngr.
atsikelt 3 at-si-kel-t atsikelti; vksm. bendr. sngr.
atsikelti 2 at-si-kel-ti atsikelti; vksm. bendr. sngr.
atsikirsti 1 at-si-kirs-ti atsikirsti; vksm. bendr. sngr.
atsiklausti 1 at-si-klaus-ti atsiklausti; vksm. bendr. sngr.
atsikratyt 1 at-si-krat-y-t atsikratyti; vksm. bendr. sngr.
atsikratyti 10 at-si-krat-y-ti atsikratyti; vksm. bendr. sngr.
atsikviesti 1 at-si-kvies-ti atsikviesti; vksm. bendr. sngr.
atsilaikyti 1 at-si-laik-y-ti atsilaikyti; vksm. bendr. sngr.
atsiliepti 1 at-si-liep-ti atsiliepti; vksm. bendr. sngr.
atsilikti 2 at-si-lik-ti atsilikti; vksm. bendr. sngr.
atsilyginti 2 at-si-lyg-in-ti atsilyginti; vksm. bendr. sngr.
atsimerkt 1 at-si-merk-t atsimerkti; vksm. bendr. sngr.
atsiminti 3 at-si-min-ti atsiminti; vksm. bendr. sngr.
atsinaujint 1 at-si-nauj-in-t atsinaujinti; vksm. bendr. sngr.
atsinešt 1 at-si-neš-t atsinešti; vksm. bendr. sngr.
atsipalaiduot 3 at-si-pa-laid-uo-t atsipalaiduoti; vksm. bendr. sngr.
atsipalaiduoti 2 at-si-pa-laid-uo-ti atsipalaiduoti; vksm. bendr. sngr.
atsiprašyti 5 at-si-praš-y-ti atsiprašyti; vksm. bendr. sngr.
atsirasti 24 at-si-ras-ti atsirasti; vksm. bendr. sngr.
atsiremt 1 at-si-rem-t atsiremti; vksm. bendr. sngr.
atsiremti 3 at-si-rem-ti atsiremti; vksm. bendr. sngr.
atsirinkti 3 at-si-rink-ti atsirinkti; vksm. bendr. sngr.
atsisakyti 34 at-si-sak-y-ti atsisakyti; vksm. bendr. sngr.
atsisėst 7 at-si-sės-t atsisėsti; vksm. bendr. sngr.
atsisėsti 4 at-si-sės-ti atsisėsti; vksm. bendr. sngr.
11
atsisiųsdinti 1 at-si-siųs-din-ti atsisiųsdinti; vksm. bendr. sngr.
atsiskaičiuot 1 at-si-skaič-iuo-t atsiskaičiuoti; vksm. bendr. sngr.
atsiskaitinėt 1 at-si-skait-inė-t atsiskaitinėti; vksm. bendr. sngr.
atsiskaityt 2 at-si-skait-y-t atsiskaityti; vksm. bendr. sngr.
atsiskaityti 11 at-si-skait-y-ti atsiskaityti; vksm. bendr. sngr.
atsiskleisti 1 at-si-skleis-ti atsiskleisti; vksm. bendr. sngr.
atsispausdint 1 at-si-spaus-din-t atsispausdinti; vksm. bendr. sngr.
atsispirti 3 at-si-spir-ti atsispirti; vksm. bendr. sngr.
atsistatydinti 3 at-si-stat-y-din-ti atsistatydinti; vksm. bendr. sngr.
atsistebėti 2 at-si-steb-ė-ti atsistebėti; vksm. bendr. sngr.
atsistot 4 at-si-sto-t atsistoti; vksm. bendr. sngr.
atsistoti 7 at-si-sto-ti atsistoti; vksm. bendr. sngr.
atsisveikint 1 at-si-sveik-in-t atsisveikinti; vksm. bendr. sngr.
atsisveikinti 6 at-si-sveik-in-ti atsisveikinti; vksm. bendr. sngr.
atsišviest 1 at-si-švies-t atsišviesti; vksm. bendr. sngr.
atsišviesti 1 at-si-švies-ti atsišviesti; vksm. bendr. sngr.
atsitikti 5 at-si-tik-ti atsitikti; vksm. bendr. sngr.
atsitikti 1 at-si-tik-ti atsitikti; vksm. bendr. sngr.
atsitrenkti 1 at-si-trenk-ti atsitrenkti; vksm. bendr. sngr.
atsitūpti 1 at-si-tūp-ti atsitūpti; vksm. bendr. sngr.
atsiųst 4 at-siųs-t atsiųsti; vksm. bendr.
atsiųsti 2 at-siųs-ti atsiųsti; vksm. bendr.
atsivert 1 at-si-ver-t atsiverti; vksm. bendr. sngr.
atsiverti 2 at-si-ver-ti atsiverti; vksm. bendr. sngr.
atsivėsinti 1 at-si-vės-in-ti atsivėsinti; vksm. bendr. sngr.
atsivežti 2 at-si-vež-ti atsivežti; vksm. bendr. sngr.
atsižiūrėti 2 at-si-žiūr-ė-ti atsižiūrėti; vksm. bendr. sngr.
atsižvelgti 19 at-si-žvelg-ti atsižvelgti; vksm. bendr. sngr.
atskirt 1 at-skir-t atskirti; vksm. bendr.
atskirti 20 at-skir-ti atskirti; vksm. bendr.
atskleisti 9 at-skleis-ti atskleisti; vksm. bendr.
atsodinti 1 at-sod-in-ti atsodinti; vksm. bendr.
atspausdint 1 at-spaus-din-t atspausdinti; vksm. bendr.
atspėti 5 at-spė-ti atspėti; vksm. bendr.
atspindėti 3 at-spind-ė-ti atspindėti; vksm. bendr.
atstatyti 7 at-stat-y-ti atstatyti; vksm. bendr.
atstot 2 at-sto-t atstoti; vksm. bendr.
atstoti 3 at-sto-ti atstoti; vksm. bendr.
atstovauti 9 at-stov-au-ti atstovauti; vksm. bendr.
atstumti 1 at-stum-ti atstumti; vksm. bendr.
atsukti 2 at-suk-ti atsukti; vksm. bendr.
atsvirduliuoti 1 at-svir-duliuo-ti atsvirduliuoti; vksm. bendr.
12
atšaldyti 1 at-šal-dy-ti atšaldyti; vksm. bendr.
atšalti 1 at-šal-ti atšalti; vksm. bendr.
atšaukti 6 at-šauk-ti atšaukti; vksm. bendr.
atšvęsti 2 at-švęs-ti atšvęsti; vksm. bendr.
atvažiuot 5 at-važ-iuo-t atvažiuoti; vksm. bendr.
atvažiuoti 2 at-važ-iuo-ti atvažiuoti; vksm. bendr.
atverti 2 at-ver-ti atverti; vksm. bendr.
atvesti 1 at-ves-ti atvesti; vksm. bendr.
atvėsti 1 at-vės-ti atvėsti; vksm. bendr.
atvežt 3 at-vež-t atvežti; vksm. bendr.
atvežti 6 at-vež-ti atvežti; vksm. bendr.
atvykti 3 at-vyk-ti atvykti; vksm. bendr.
augint 1 aug-in-t auginti; vksm. bendr.
auginti 19 aug-in-ti auginti; vksm. bendr.
augti 13 aug-ti augti; vksm. bendr.
auklėti 1 auk-l-ė-ti auklėti; vksm. bendr.
aukoti 1 auk-o-ti aukoti; vksm. bendr.
aukotis 2 auk-o-ti-s aukotis; vksm. bendr. sngr.
badauti 3 bad-au-ti badauti; vksm. bendr.
baiginėti 1 baig-inė-ti baiginėti; vksm. bendr.
baigt 2 baig-t baigti; vksm. bendr.
baigti 17 baig-ti baigti; vksm. bendr.
baigtis 7 baig-ti-s baigtis; vksm. bendr. sngr.
bakstelėti 1 bak-stelė-ti bakstelėti; vksm. bendr.
balsuoti 1 bal-s-uo-ti balsuoti; vksm. bendr.
bambėti 1 bamb-ė-ti bambėti; vksm. bendr.
bandyti 2 band-y-ti bandyti; vksm. bendr.
barbenti 1 barb-en-ti barbenti; vksm. bendr.
barstyti 2 bar-sty-ti barstyti; vksm. bendr.
barškinti 2 baršk-in-ti barškinti; vksm. bendr.
bausti 4 baus-ti bausti; vksm. bendr.
bedaryt 1 be-dar-y-t bedaryti; vksm. bendr.
begalvot 1 be-galv-o-t begalvoti; vksm. bendr.
bėgioti 3 bėg-io-ti bėgioti; vksm. bendr.
bėgti 9 bėg-ti bėgti; vksm. bendr.
beišsivaduoti 1 be-iš-si-vad-uo-ti beišsivaduoti; vksm. bendr. sngr.
bendradarbiauti 15 bendr-a-darb-iau-ti bendradarbiauti; vksm. bendr.
bendraut 1 bendr-au-t bendrauti; vksm. bendr.
bendrauti 36 bendr-au-ti bendrauti; vksm. bendr.
bernauti 1 bern-au-ti bernauti; vksm. bendr.
besakyt 1 be-sak-y-t besakyti; vksm. bendr.
besportuot 1 be-sport-uo-t besportuoti; vksm. bendr.
13
bijot 1 bij-o-t bijoti; vksm. bendr.
bijoti 7 bij-o-ti bijoti; vksm. bendr.
bijotis 1 bij-o-ti-s bijotis; vksm. bendr. sngr.
birti 1 bir-ti birti; vksm. bendr.
byrėti 1 byr-ė-ti byrėti; vksm. bendr.
blaškytis 2 blašk-y-ti-s blaškytis; vksm. bendr. sngr.
blėsti 1 blės-ti blėsti; vksm. bendr.
bliaukti 2 bliauk-ti bliaukti; vksm. bendr.
bliauti 1 bliau-ti bliauti; vksm. bendr.
blizgėti 1 blizg-ė-ti blizgėti; vksm. bendr.
blokuoti 2 blok-uo-ti blokuoti; vksm. bendr.
bodėtis 1 bod-ė-ti-s bodėtis; vksm. bendr. sngr.
boikotuoti 1 boikot-uo-ti boikotuoti; vksm. bendr.
bombarduoti 1 bombard-uo-ti bombarduoti; vksm. bendr.
braidyti 1 braid-y-ti braidyti; vksm. bendr.
braižyti 1 braiž-y-ti braižyti; vksm. bendr.
branginti 1 brang-in-ti branginti; vksm. bendr.
brautis 4 brau-ti-s brautis; vksm. bendr. sngr.
bristi 2 bris-ti bristi; vksm. bendr.
bučiuoti 7 buč-iuo-ti bučiuoti; vksm. bendr.
budėti 3 bud-ė-ti budėti; vksm. bendr.
budinti 1 bud-in-ti budinti; vksm. bendr.
burtis 1 bur-ti-s burtis; vksm. bendr. sngr.
būt 64 bū-t būti; vksm. bendr.
būti 982 bū-ti būti; vksm. bendr.
būti 7 bū-ti būti; vksm. bendr.
cituoti 1 cit-uo-ti cituoti; vksm. bendr.
čiupinėti 1 čiup-inė-ti čiupinėti; vksm. bendr.
čiupinėtis 1 čiup-inė-ti-s čiupinėtis; vksm. bendr. sngr.
dainuot 1 dain-uo-t dainuoti; vksm. bendr.
dainuoti 2 dain-uo-ti dainuoti; vksm. bendr.
dairytis 7 dair-y-ti-s dairytis; vksm. bendr. sngr.
dalintis 1 dal-in-ti-s dalintis; vksm. bendr. sngr.
dalyti 2 dal-y-ti dalyti; vksm. bendr.
dalytis 3 dal-y-ti-s dalytis; vksm. bendr. sngr.
dalyvauti 50 dal-yv-au-ti dalyvauti; vksm. bendr.
dangstytis 2 dang-sty-ti-s dangstytis; vksm. bendr. sngr.
darbuotis 4 darb-uo-ti-s darbuotis; vksm. bendr. sngr.
daryt 33 dar-y-t daryti; vksm. bendr.
daryti 106 dar-y-ti daryti; vksm. bendr.
darytis 1 dar-y-ti-s darytis; vksm. bendr. sngr.
daugėti 1 daug-ė-ti daugėti; vksm. bendr.
14
dauginti 4 daug-in-ti dauginti; vksm. bendr.
daužyti 5 dauž-y-ti daužyti; vksm. bendr.
dažyti 1 daž-y-ti dažyti; vksm. bendr.
decentralizuoti 2 de-centr-al-iz-uo-ti decentralizuoti; vksm. bendr.
deformuoti 2 de-form-uo-ti deformuoti; vksm. bendr.
deformuotis 3 de-form-uo-ti-s deformuotis; vksm. bendr. sngr.
degint 2 deg-in-t deginti; vksm. bendr.
degti 2 deg-ti degti; vksm. bendr.
dejuoti 1 dej-uo-ti dejuoti; vksm. bendr.
deklamuoti 1 deklam-uo-ti deklamuoti; vksm. bendr.
dėkot 1 dėk-o-t dėkoti; vksm. bendr.
deleguoti 1 deleg-uo-ti deleguoti; vksm. bendr.
delsti 1 dels-ti delsti; vksm. bendr.
demaskuoti 1 demask-uo-ti demaskuoti; vksm. bendr.
dengti 1 deng-ti dengti; vksm. bendr.
derėtis 4 der-ė-ti-s derėtis; vksm. bendr. sngr.
derint 1 der-in-t derinti; vksm. bendr.
derinti 7 der-in-ti derinti; vksm. bendr.
derintis 1 der-in-ti-s derintis; vksm. bendr. sngr.
destabilizuoti 1 de-stabil-iz-uo-ti destabilizuoti; vksm. bendr.
dėstyti 2 dė-sty-ti dėstyti; vksm. bendr.
dėstytojauti 1 dė-st-y-toj-au-ti dėstytojauti; vksm. bendr.
dėt 5 dė-t dėti; vksm. bendr.
detalizuoti 4 detal-iz-uo-ti detalizuoti; vksm. bendr.
dėti 10 dė-ti dėti; vksm. bendr.
dėtis 8 dė-ti-s dėtis; vksm. bendr. sngr.
diagnozuoti 12 diagnoz-uo-ti diagnozuoti; vksm. bendr.
didėti 2 did-ė-ti didėti; vksm. bendr.
didinti 12 did-in-ti didinti; vksm. bendr.
didžiuotis 9 didž-iuo-ti-s didžiuotis; vksm. bendr. sngr.
diegti 4 dieg-ti diegti; vksm. bendr.
diferencijuoti 4 diferenc-ij-uo-ti diferencijuoti; vksm. bendr.
diktuoti 1 dikt-uo-ti diktuoti; vksm. bendr.
dingt 2 ding-t dingti; vksm. bendr.
dingti 5 ding-ti dingti; vksm. bendr.
dirbt 14 dirb-t dirbti; vksm. bendr.
dirbti 111 dirb-ti dirbti; vksm. bendr.
dirstelti 1 dirs-tel-ti dirstelėti; vksm. bendr.
diskriminuoti 2 diskrimin-uo-ti diskriminuoti; vksm. bendr.
diskutuoti 2 diskut-uo-ti diskutuoti; vksm. bendr.
dispečeriuoti 1 dispečer-iuo-ti dispečeriuoti; vksm. bendr.
disponuoti 1 dispon-uo-ti disponuoti; vksm. bendr.
15
dygti 1 dyg-ti dygti; vksm. bendr.
dokumentuoti 2 dokument-uo-ti dokumentuoti; vksm. bendr.
domėtis 8 dom-ė-ti-s domėtis; vksm. bendr. sngr.
